,Date,Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered
73686,2021-02-04,South Africa,1466767,45605,1327186.0,93976.0,3751,261,3506
73706,2021-02-04,US,26806454,461517,0.0,26344937.0,123927,3884,0
73710,2021-02-04,United Kingdom,3903710,110462,10015.0,3783233.0,20734,915,75
73728,2021-02-05,Australia,28848,909,22825.0,5114.0,6,0,3
73743,2021-02-05,Brazil,9456500,230258,8396148.0,830094.0,51690,1251,29951
73803,2021-02-05,Israel,680856,5020,590822.0,85014.0,5238,19,1334
73804,2021-02-05,Italy,2611659,90618,2091923.0,429118.0,14213,377,14995
73844,2021-02-05,New Zealand,2315,25,2228.0,62.0,0,0,0
73880,2021-02-05,South Africa,1470516,45902,1335618.0,88996.0,3749,297,8432
73900,2021-02-05,US,26938113,465191,0.0,26472922.0,131659,3674,0
73904,2021-02-05,United Kingdom,3922914,111477,10098.0,3801339.0,19204,1015,83
73922,2021-02-06,Australia,28851,909,22827.0,5115.0,3,0,2
73937,2021-02-06,Brazil,9502810,231195,8428992.0,842623.0,46310,937,32844
73997,2021-02-06,Israel,685583,5071,609144.0,71368.0,4727,51,18322
73998,2021-02-06,Italy,2625098,91003,2107061.0,427034.0,13439,385,15138
74038,2021-02-06,New Zealand,2320,25,2229.0,66.0,5,0,1
74074,2021-02-06,South Africa,1473700,46180,1340497.0,87023.0,3184,278,4879
74094,2021-02-06,US,27049066,467928,0.0,26581138.0,110953,2737,0
74098,2021-02-06,United Kingdom,3941277,112305,10186.0,3818786.0,18363,828,88
74116,2021-02-07,Australia,28857,909,22830.0,5118.0,6,0,3
74131,2021-02-07,Brazil,9528972,231684,8467982.0,829306.0,26162,489,38990
74191,2021-02-07,Israel,692101,5121,619100.0,67880.0,6518,50,9956
74192,2021-02-07,Italy,2636738,91273,2118441.0,427024.0,11640,270,11380
74232,2021-02-07,New Zealand,2320,25,2229.0,66.0,0,0,0
74268,2021-02-07,South Africa,1476135,46290,1360204.0,69641.0,2435,110,19707
74288,2021-02-07,US,27140949,469405,0.0,26671544.0,91883,1477,0
